Delivery,TransPlnngPt,Shipping Type,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Delivery Route,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group
176922671,2513,ZP90,"483,647.00","483,647.00","919,000.00",G,CCM,1511001438,1/20/2023,2/2/2023,1,70012290,ZPLF,2513,1,ZP01
176928745,2513,ZP90,"15,475.00","15,475.00","142,000.00",G,CCM,1511003025,1/21/2023,1/26/2023,1,70012117,ZPLF,2513,2,ZP01
176930841,2513,ZP90,"7,795.00","7,795.00","61,000.00",G,CCM,1511001063,1/20/2023,2/9/2023,1,70012290,ZPLF,2513,1,ZP01
176934591,2513,ZP90,"3,200.00","3,200.00","34,000.00",G,CCM,1511001696,1/21/2023,2/6/2023,1,70012106,ZPLF,2513,1,ZP01
176942452,2513,ZP90,891,891,"6,000.00",G,CCM,1511001881,1/21/2023,1/30/2023,1,70012117,ZPLF,2513,2,ZP01
176746397,2513,ZP90,"78,336.00","78,336.00","398,000.00",G,CCM,1510998597,1/20/2023,1/27/2023,1,70462646,ZPLF,2513,3,ZP01
176746400,2513,ZP90,"118,200.00","118,200.00","998,000.00",G,CCM,1510998598,1/20/2023,1/27/2023,1,70462646,ZPLF,2513,3,ZP01
176795690,2513,ZP90,"10,413.00","10,413.00","89,000.00",G,CCM,1511001645,1/20/2023,1/30/2023,1,70462646,ZPLF,2513,2,ZP01
176811082,2513,ZP90,"7,660.00","7,660.00","57,000.00",G,CCM,1511001648,1/20/2023,1/30/2023,1,70462646,ZPLF,2513,4,ZP01
176867247,2513,ZP90,"13,860.00","13,860.00","81,000.00",G,CCM,1510998848,1/20/2023,1/30/2023,1,70462646,ZPLF,2513,2,ZP01
