#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
3.3215172,9,1748.234799
3.0466504,6,1748.235193
4.0171766,3,1750.608611
0.90297997,2,1750.608996
0.5357135,1,1750.609187
0.4595995,1,1750.754277
0.93164295,1,1751.019359
3.8738306,3,1755.260242
0.33383396,1,1755.260622
3.1869173,4,1755.260847
3.5603418,3,1755.26096
2.0326667,1,1757.836833
2.7102437,1,1757.837164
0.16870397,1,1758.140997
3.7575943,3,1761.364348
3.4935815,3,1769.138139
3.8235412,6,1769.138475
2.6681683,1,1772.154165
3.6877544,6,1775.618205
2.5630546,2,1779.602949
2.6043556,4,1779.603264
-0.005,1,1779.812908
2.62451,1,1783.498461
0.54498273,1,1783.850884
1.0551046,1,1787.878473
3.505532,14,1793.431165
3.6870942,6,1793.687184
3.9261045,5,1807.32912
3.2513762,6,1807.329568
2.9301403,8,1807.578139
1.054807,1,1807.578459
0.94400173,2,1807.883648
3.0293536,17,1808.197429
3.729745,4,1817.789343
2.8034813,2,1817.789806
3.9357607,5,1825.997369
2.978943,3,1826.599223
2.7224958,7,1826.599535
2.529357,2,1827.240594
2.2110379,1,1827.240881
3.0098352,1,1833.397281
4.175058,2,1833.397651
3.5985932,2,1837.915897
4.211382,3,1837.916208
3.0099614,4,1841.704084
3.6663647,3,1842.235103
2.83174,6,1845.524966
3.5892272,13,1845.525262
2.2017794,4,1847.340349
2.6275551,1,1847.340691
1.2380714,2,1851.842437
3.423538,2,1852.73019
3.7078483,9,1861.176714
3.0088553,3,1861.177042
3.6701136,5,1861.502241
1.5234079,1,1861.502577
3.1555536,4,1861.918661
2.7950532,2,1866.239464
0.43032902,1,1867.281956
2.8231986,2,1867.28227
3.394017,3,1867.282456
3.328874,7,1872.890922
2.7056906,3,1872.891247
3.6285105,4,1873.337675
3.8865812,4,1873.338322
2.602986,1,1874.592996
2.5815089,1,1877.147033
2.7082117,2,1877.147373
1.6481102,1,1881.082336
3.2384243,5,1885.401872
3.3892581,4,1894.62335
2.814498,2,1894.623685
3.1589084,1,1896.961282
4.02029,8,1896.961606
1.839873,1,1896.961803
2.3134382,1,1898.803864
2.053792,1,1900.191675
3.3643966,6,1900.192016
3.0749044,3,1905.394259
3.7234359,3,1905.394637
0.3888152,1,1906.408068
2.4870298,2,1908.214246
3.6545672,4,1911.528676
2.8041983,2,1911.529007
3.9202516,3,1916.276964
4.158584,6,1916.27729
0.2430691,1,1916.706279
3.5657341,3,1916.706625
2.7754898,3,1916.706765
1.1701355,1,1922.054072
2.9052856,1,1924.693246
3.6709294,1,1936.844882
3.5830154,4,1936.845226
3.7281225,4,1937.097862
3.3598435,4,1937.098202
1.2461048,3,1946.508206
0.3811047,1,1947.027537
4.2310724,4,1949.591836
2.9489856,2,1953.14648
3.7133899,8,1968.821001
3.7016613,12,1979.43059
3.7702463,14,1981.855842
3.3011932,8,1984.129302
3.626566,3,1992.846017
3.163507,2,1992.846386
1.1296495,2,1994.362246
4.496338,4,2005.383177
3.4575202,8,2005.383493
2.4400008,1,2009.834557
2.572828,1,2009.834923
4.09263,12,2015.761252
2.3841655,1,2015.983001
3.7372308,7,2017.162723
2.8701541,4,2017.163062
1.8817241,1,2021.469575
3.7149003,5,2021.469909
3.434759,4,2023.871352
-0.01,2,2023.871838
2.628214,3,2023.872101
1.374977,1,2026.922565
1.8111492,1,2026.922944
3.0838804,1,2026.923163
3.0763993,3,2026.923666
0.8953922,1,2028.001884
1.758724,1,2028.002147
0.29068747,1,2028.002241
2.5614424,1,2028.33657
2.8857772,2,2028.336958
0.57750213,2,2029.126976
1.3140014,1,2029.127277
3.5468516,2,2029.411866
3.4999402,2,2029.63795
3.0784466,2,2029.638265
0.42841586,1,2029.638576
1.4425895,1,2029.893064
0.7004736,2,2030.177983
3.3454435,6,2030.178445
0.51329654,1,2032.619787
3.385829,2,2032.620123
3.2256026,2,2032.824371
3.6918423,2,2040.592256
0.597494,1,2040.592622
3.8238597,6,2045.958517
2.7515664,2,2049.230674
1.540595,1,2057.09766
4.0107965,6,2068.336522
4.2444835,5,2071.663213
3.918782,4,2071.663558
3.503417,4,2078.432517
4.2842107,3,2078.432828
4.0189853,3,2080.809077
2.5096605,2,2081.712408
0.07095717,1,2081.71277
3.2076309,6,2083.23102
3.2310789,7,2093.695314
3.110354,3,2093.695663
3.6865468,5,2093.695805
4.7305303,5,2093.695884
1.8406603,1,2096.804146
-0.11284583,1,2096.804475
3.539343,5,2106.592544
3.9949534,5,2106.592927
3.0080183,4,2106.593064
1.389586,1,2109.403498
1.2929142,1,2109.403811
1.6492221,2,2112.100908
2.7972865,2,2112.101268
1.8505445,1,2115.715614
2.634808,1,2115.715969
4.162445,5,2118.137118
3.5241318,3,2123.042916
3.9722338,12,2125.962424
1.3475585,1,2125.962783
0.76815414,1,2128.631889
3.5247693,6,2138.305662
3.0347483,9,2141.435977
2.2781794,2,2141.436306
3.4277797,6,2142.401647
3.3079884,2,2142.782339
2.3875382,3,2143.161594
2.4620333,1,2143.161933
